float_id,latitude,longitude,depth,N2,S2,Richardson_Number,classification,color
SYN_0000,12.49080237694725,84.01428612819832,0,0.0,7.577600576618553e-06,0.0,UNSAFE,RED
SYN_0000,12.49080237694725,84.01428612819832,10,0.0,2.3270685732871196e-06,0.0,UNSAFE,RED
SYN_0000,12.49080237694725,84.01428612819832,25,0.0,4.7353979088305596e-07,0.0,UNSAFE,RED
SYN_0000,12.49080237694725,84.01428612819832,50,0.0,1.6248159627240164e-07,0.0,UNSAFE,RED
SYN_0000,12.49080237694725,84.01428612819832,75,0.0,6.324396470877664e-08,0.0,UNSAFE,RED
SYN_0000,12.49080237694725,84.01428612819832,100,0.0,1.4688141249645916e-06,0.0,UNSAFE,RED
SYN_0000,12.49080237694725,84.01428612819832,150,0.0,2.2380590029418287e-08,0.0,UNSAFE,RED
SYN_0000,12.49080237694725,84.01428612819832,200,0.0,5.2627479958921575e-08,0.0,UNSAFE,RED
SYN_0001,5.319325044404284,69.61787651244298,0,0.0,4.153776843924307e-05,0.0,UNSAFE,RED
SYN_0001,5.319325044404284,69.61787651244298,10,0.0,5.391374554452357e-06,0.0,UNSAFE,RED
SYN_0001,5.319325044404284,69.61787651244298,25,0.0,8.33656245756639e-06,0.0,UNSAFE,RED
SYN_0001,5.319325044404284,69.61787651244298,50,0.0,4.02143359946188e-07,0.0,UNSAFE,RED
SYN_0001,5.319325044404284,69.61787651244298,75,0.0,5.91854127156188e-07,0.0,UNSAFE,RED
SYN_0001,5.319325044404284,69.61787651244298,100,0.0,9.14218588871275e-09,0.0,UNSAFE,RED
SYN_0001,5.319325044404284,69.61787651244298,150,0.0,1.0835983748811882e-07,0.0,UNSAFE,RED
SYN_0001,5.319325044404284,69.61787651244298,200,0.0,1.7573038964200593e-07,0.0,UNSAFE,RED
SYN_0002,6.480893034681808,72.16931457088545,0,0.0,2.0556488205717787e-05,0.0,UNSAFE,RED
SYN_0002,6.480893034681808,72.16931457088545,10,0.0,1.8197850960316046e-06,0.0,UNSAFE,RED
SYN_0002,6.480893034681808,72.16931457088545,25,0.0,3.5006384116922327e-06,0.0,UNSAFE,RED
SYN_0002,6.480893034681808,72.16931457088545,50,0.0,6.219794604627358e-08,0.0,UNSAFE,RED
SYN_0002,6.480893034681808,72.16931457088545,75,0.0,3.4943279741080405e-06,0.0,UNSAFE,RED
SYN_0002,6.480893034681808,72.16931457088545,100,0.0,1.8872976863879462e-06,0.0,UNSAFE,RED
SYN_0002,6.480893034681808,72.16931457088545,150,0.0,2.1080131549100214e-07,0.0,UNSAFE,RED
SYN_0002,6.480893034681808,72.16931457088545,200,0.0,6.29539340157844e-07,0.0,UNSAFE,RED
SYN_0003,9.061224494695388,83.85707141115962,0,0.0,1.1400581871432951e-05,0.0,UNSAFE,RED
SYN_0003,9.061224494695388,83.85707141115962,10,0.0,3.747663114202106e-06,0.0,UNSAFE,RED
SYN_0003,9.061224494695388,83.85707141115962,25,0.0,1.3064374431869826e-06,0.0,UNSAFE,RED
SYN_0003,9.061224494695388,83.85707141115962,50,0.0,1.8625198751768253e-06,0.0,UNSAFE,RED
SYN_0003,9.061224494695388,83.85707141115962,75,0.0,1.1424587176536822e-07,0.0,UNSAFE,RED
SYN_0003,9.061224494695388,83.85707141115962,100,0.0,4.616287028895488e-07,0.0,UNSAFE,RED
SYN_0003,9.061224494695388,83.85707141115962,150,0.0,9.761125251531146e-09,0.0,UNSAFE,RED
SYN_0003,9.061224494695388,83.85707141115962,200,0.0,3.536435817465508e-07,0.0,UNSAFE,RED
SYN_0004,12.27259204758588,84.43564165441921,0,0.0,1.50994729805603e-05,0.0,UNSAFE,RED
SYN_0004,12.27259204758588,84.43564165441921,10,0.0,6.841011163287033e-06,0.0,UNSAFE,RED
SYN_0004,12.27259204758588,84.43564165441921,25,0.0,3.129084983254868e-07,0.0,UNSAFE,RED
SYN_0004,12.27259204758588,84.43564165441921,50,0.0,2.3349615265258233e-07,0.0,UNSAFE,RED
SYN_0004,12.27259204758588,84.43564165441921,75,0.0,1.4282529583124703e-08,0.0,UNSAFE,RED
SYN_0004,12.27259204758588,84.43564165441921,100,0.0,2.583696907826759e-07,0.0,UNSAFE,RED
SYN_0004,12.27259204758588,84.43564165441921,150,0.0,8.550877289172617e-09,0.0,UNSAFE,RED
SYN_0004,12.27259204758588,84.43564165441921,200,0.0,1.7981679381653705e-07,0.0,UNSAFE,RED
SYN_0005,15.163975534814371,78.91625613581763,0,0.0,3.078391906884007e-06,0.0,UNSAFE,RED
SYN_0005,15.163975534814371,78.91625613581763,10,0.0,2.531403440205093e-07,0.0,UNSAFE,RED
SYN_0005,15.163975534814371,78.91625613581763,25,0.0,2.702000772691385e-06,0.0,UNSAFE,RED
SYN_0005,15.163975534814371,78.91625613581763,50,0.0,9.855681393855561e-08,0.0,UNSAFE,RED
SYN_0005,15.163975534814371,78.91625613581763,75,0.0,4.995479699408081e-07,0.0,UNSAFE,RED
SYN_0005,15.163975534814371,78.91625613581763,100,0.0,2.3591422392191497e-07,0.0,UNSAFE,RED
SYN_0005,15.163975534814371,78.91625613581763,150,0.0,2.491445187431647e-08,0.0,UNSAFE,RED
SYN_0005,15.163975534814371,78.91625613581763,200,0.0,4.818065790934838e-07,0.0,UNSAFE,RED
SYN_0006,22.942205199051543,82.74172848530235,0,0.0,1.654442093954606e-05,0.0,UNSAFE,RED
SYN_0006,22.942205199051543,82.74172848530235,10,0.0,5.692745048820825e-06,0.0,UNSAFE,RED
SYN_0006,22.942205199051543,82.74172848530235,25,0.0,5.348270181512264e-07,0.0,UNSAFE,RED
SYN_0006,22.942205199051543,82.74172848530235,50,0.0,1.3206671023794091e-06,0.0,UNSAFE,RED
SYN_0006,22.942205199051543,82.74172848530235,75,0.0,2.4241060295342703e-07,0.0,UNSAFE,RED
SYN_0006,22.942205199051543,82.74172848530235,100,0.0,1.2631411143556546e-06,0.0,UNSAFE,RED
SYN_0006,22.942205199051543,82.74172848530235,150,0.0,1.6507355628369973e-08,0.0,UNSAFE,RED
SYN_0006,22.942205199051543,82.74172848530235,200,0.0,3.0426834393769473e-07,0.0,UNSAFE,RED
SYN_0007,17.902067240611295,78.37848119326199,0,0.0,1.7231594854196677e-05,0.0,UNSAFE,RED
SYN_0007,17.902067240611295,78.37848119326199,10,0.0,2.7982862057893316e-06,0.0,UNSAFE,RED
SYN_0007,17.902067240611295,78.37848119326199,25,0.0,8.102317815607149e-07,0.0,UNSAFE,RED
SYN_0007,17.902067240611295,78.37848119326199,50,0.0,9.297612845433683e-08,0.0,UNSAFE,RED
SYN_0007,17.902067240611295,78.37848119326199,75,0.0,1.5842387420456105e-06,0.0,UNSAFE,RED
SYN_0007,17.902067240611295,78.37848119326199,100,0.0,5.029304122542658e-07,0.0,UNSAFE,RED
SYN_0007,17.902067240611295,78.37848119326199,150,0.0,2.7828777266826935e-07,0.0,UNSAFE,RED
SYN_0007,17.902067240611295,78.37848119326199,200,0.0,6.791380252642929e-07,0.0,UNSAFE,RED
SYN_0008,21.97339589849349,67.73242662884057,0,0.0,1.6244649751901994e-05,0.0,UNSAFE,RED
SYN_0008,21.97339589849349,67.73242662884057,10,0.0,3.5898539665886614e-06,0.0,UNSAFE,RED
SYN_0008,21.97339589849349,67.73242662884057,25,0.0,1.1317666276962207e-06,0.0,UNSAFE,RED
SYN_0008,21.97339589849349,67.73242662884057,50,0.0,1.9382767576734395e-07,0.0,UNSAFE,RED
SYN_0008,21.97339589849349,67.73242662884057,75,0.0,3.353625247703915e-07,0.0,UNSAFE,RED
SYN_0008,21.97339589849349,67.73242662884057,100,0.0,6.979008906866828e-07,0.0,UNSAFE,RED
SYN_0008,21.97339589849349,67.73242662884057,150,0.0,1.126183854670788e-07,0.0,UNSAFE,RED
SYN_0008,21.97339589849349,67.73242662884057,200,0.0,9.015308403638748e-07,0.0,UNSAFE,RED
SYN_0009,7.654908444859396,84.39073734228319,0,0.0,2.4561174036628713e-05,0.0,UNSAFE,RED
