float_id,latitude,longitude,depth,temperature,salinity,date
SYN_0000,12.49080237694725,84.01428612819832,0,28.09532697536535,34.906495170126405,2026-04-17
SYN_0000,12.49080237694725,84.01428612819832,10,23.956120886905907,35.042872571365585,2026-04-17
SYN_0000,12.49080237694725,84.01428612819832,25,19.91646488177282,34.828364851104254,2026-04-17
SYN_0000,12.49080237694725,84.01428612819832,50,15.253717440425056,34.62498384724051,2026-04-17
SYN_0000,12.49080237694725,84.01428612819832,75,12.38093887076959,34.592978610489695,2026-04-17
SYN_0000,12.49080237694725,84.01428612819832,100,10.592274270173082,34.57332008474183,2026-04-17
SYN_0000,12.49080237694725,84.01428612819832,150,8.814549586326134,34.567708721458615,2026-04-17
SYN_0000,12.49080237694725,84.01428612819832,200,8.071827642605577,34.703850065063314,2026-04-17
SYN_0001,5.319325044404284,69.61787651244298,0,27.684868955748218,35.13088308193377,2026-04-02
SYN_0001,5.319325044404284,69.61787651244298,10,24.12619912197561,35.001941070741715,2026-04-02
SYN_0001,5.319325044404284,69.61787651244298,25,20.028843494809188,34.9070996060529,2026-04-02
SYN_0001,5.319325044404284,69.61787651244298,50,15.077079647176946,34.77878044149216,2026-04-02
SYN_0001,5.319325044404284,69.61787651244298,75,12.036981790003853,34.792538226636005,2026-04-02
SYN_0001,5.319325044404284,69.61787651244298,100,10.243615248073965,34.705352641700415,2026-04-02
SYN_0001,5.319325044404284,69.61787651244298,150,8.904151262215844,34.57827016580591,2026-04-02
SYN_0001,5.319325044404284,69.61787651244298,200,8.365324488243926,34.53888035152828,2026-04-02
SYN_0002,6.480893034681808,72.16931457088545,0,27.539248229074616,35.30382294973431,2026-02-10
SYN_0002,6.480893034681808,72.16931457088545,10,24.100261932924116,35.08176804303342,2026-02-10
SYN_0002,6.480893034681808,72.16931457088545,25,19.486712209252584,35.05559185795209,2026-02-10
SYN_0002,6.480893034681808,72.16931457088545,50,15.063095492039073,34.77849058464713,2026-02-10
SYN_0002,6.480893034681808,72.16931457088545,75,11.919315494077972,34.80515966084427,2026-02-10
SYN_0002,6.480893034681808,72.16931457088545,100,10.29893027185127,34.716053630546796,2026-02-10
SYN_0002,6.480893034681808,72.16931457088545,150,8.34420011801233,34.79003720685702,2026-02-10
SYN_0002,6.480893034681808,72.16931457088545,200,8.140580062922563,34.72786397347459,2026-02-10
SYN_0003,9.061224494695388,83.85707141115962,0,27.955221489651162,35.06815936105952,2026-03-12
SYN_0003,9.061224494695388,83.85707141115962,10,24.32107300858419,34.91070005343028,2026-03-12
SYN_0003,9.061224494695388,83.85707141115962,25,20.30793565658605,34.59353521839299,2026-03-12
SYN_0003,9.061224494695388,83.85707141115962,50,15.338047937656516,34.531032496898334,2026-03-12
SYN_0003,9.061224494695388,83.85707141115962,75,12.568882269552079,34.48815863885233,2026-03-12
SYN_0003,9.061224494695388,83.85707141115962,100,10.540210917796824,34.580052104003066,2026-03-12
