latitude,longitude,depth
5.0,65.0,-32.79916761170276
5.0,65.20202020202021,-32.18784459942268
5.0,65.4040404040404,-30.299351441900797
5.0,65.60606060606061,-32.73416828809925
5.0,65.8080808080808,-29.44018511039672
5.0,66.01010101010101,-31.44880334097754
5.0,66.21212121212122,-31.162877231191633
5.0,66.41414141414141,-31.528170458721306
5.0,66.61616161616162,-29.638978281750877
5.0,66.81818181818181,-29.153075984336166
5.0,67.02020202020202,-29.06136955926828
5.0,67.22222222222223,-27.629891115876383
5.0,67.42424242424242,-28.077402695023046
5.0,67.62626262626263,-25.734909292035894
5.0,67.82828282828282,-26.08346877730129
5.0,68.03030303030303,-24.061240645244826
5.0,68.23232323232324,-23.081741809429737
5.0,68.43434343434343,-21.786154450433564
5.0,68.63636363636364,-20.883709571080292
5.0,68.83838383838383,-17.320442530253242
5.0,69.04040404040404,-14.412301342041708
5.0,69.24242424242425,-13.535751650334815
5.0,69.44444444444444,-17.178357878952426
5.0,69.64646464646465,-11.239391580544883
5.0,69.84848484848484,-13.31738573096204
5.0,70.05050505050505,-10.514124747694034
5.0,70.25252525252526,-12.712158619941569
5.0,70.45454545454545,-10.091276270978351
5.0,70.65656565656566,-8.943831576131428
5.0,70.85858585858585,-11.752121398779423
5.0,71.06060606060606,-7.07907425800911
5.0,71.26262626262626,-5.0
5.0,71.46464646464646,-7.523450345057903
5.0,71.66666666666667,-5.0
5.0,71.86868686868686,-6.408442335807304
5.0,72.07070707070707,-5.0
5.0,72.27272727272727,-10.098089238453703
5.0,72.47474747474747,-5.0
5.0,72.67676767676768,-5.0
5.0,72.87878787878788,-6.230205452763422
5.0,73.08080808080808,-9.605132603531848
5.0,73.28282828282828,-5.084897993676685
5.0,73.48484848484848,-8.548805839589422
5.0,73.68686868686869,-5.0
5.0,73.88888888888889,-5.0
5.0,74.0909090909091,-7.543761120169054
5.0,74.29292929292929,-5.0
5.0,74.4949494949495,-5.0
5.0,74.6969696969697,-5.0
5.0,74.8989898989899,-5.6432393771964975
5.0,75.1010101010101,-8.492002918379265
5.0,75.3030303030303,-5.0
5.0,75.5050505050505,-6.201697582842791
5.0,75.70707070707071,-8.440515070957584
5.0,75.9090909090909,-5.0
5.0,76.11111111111111,-5.0
5.0,76.31313131313131,-5.743451042531534
5.0,76.51515151515152,-5.0
5.0,76.71717171717171,-5.478325327350449
5.0,76.91919191919192,-6.421866592905851
5.0,77.12121212121212,-6.921871692944105
5.0,77.32323232323232,-5.0
5.0,77.52525252525253,-7.221242547348694
5.0,77.72727272727272,-5.0
5.0,77.92929292929293,-6.779282454691566
5.0,78.13131313131314,-6.581568309721876
5.0,78.33333333333333,-5.0
5.0,78.53535353535354,-6.421028477151857
5.0,78.73737373737373,-6.470545543413737
5.0,78.93939393939394,-5.0
5.0,79.14141414141415,-5.0
5.0,79.34343434343434,-5.0
5.0,79.54545454545455,-6.970494335821048
5.0,79.74747474747474,-6.682171783168309
5.0,79.94949494949495,-5.501124257093075
5.0,80.15151515151516,-5.0190946607218345
5.0,80.35353535353535,-7.636686604852693
5.0,80.55555555555556,-5.0
5.0,80.75757575757575,-5.489928125293952
5.0,80.95959595959596,-9.092371421849409
